goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/bench/cross
cpu: Apple M4 Pro
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     519	   2376413 ns/op	33664.18 MB/s	20061930 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     498	   2396434 ns/op	33382.93 MB/s	20061930 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     507	   2478748 ns/op	32274.36 MB/s	20061930 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     514	   2444589 ns/op	32725.34 MB/s	20061930 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     516	   2437049 ns/op	32826.59 MB/s	20061929 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     501	   2387562 ns/op	33506.98 MB/s	20061929 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     495	   2411205 ns/op	33178.43 MB/s	20061928 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  225526	      5320 ns/op	1503.71 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  222589	      5377 ns/op	1487.75 MB/s	   18520 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  229743	      5372 ns/op	1489.08 MB/s	   18520 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  193354	      5400 ns/op	1481.38 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  241426	      5201 ns/op	1538.25 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  235833	      5159 ns/op	1550.57 MB/s	   16120 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  229021	      5184 ns/op	1543.24 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  223777	      5332 ns/op	1500.34 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  231901	      5325 ns/op	1502.29 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  228001	      5222 ns/op	1531.98 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   27879	     43134 ns/op	1854.66 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   27871	     43971 ns/op	1819.39 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   27776	     44192 ns/op	1810.29 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   27714	     43988 ns/op	1818.69 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   25716	     46694 ns/op	1713.29 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   25657	     44019 ns/op	1817.41 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   28202	     43539 ns/op	1837.45 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   27493	     43074 ns/op	1857.27 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   27678	     44586 ns/op	1794.28 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   27990	     43223 ns/op	1850.88 MB/s	  150040 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2995	    408468 ns/op	1958.54 MB/s	 1971959 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    3163	    394178 ns/op	2029.54 MB/s	 1988341 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    3022	    394797 ns/op	2026.36 MB/s	 1980151 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    3108	    396730 ns/op	2016.48 MB/s	 1988343 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    3169	    390498 ns/op	2048.67 MB/s	 1980146 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    3093	    404774 ns/op	1976.41 MB/s	 1971954 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    3052	    400173 ns/op	1999.13 MB/s	 1988342 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    3043	    405375 ns/op	1973.48 MB/s	 1988341 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2953	    407776 ns/op	1961.86 MB/s	 1988341 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    2952	    410308 ns/op	1949.75 MB/s	 1988343 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     506	   2446610 ns/op	3269.83 MB/s	18726639 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     502	   2428286 ns/op	3294.51 MB/s	18734830 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     500	   2382971 ns/op	3357.15 MB/s	18759409 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     501	   2409094 ns/op	3320.75 MB/s	18734835 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     490	   2421564 ns/op	3303.65 MB/s	18726643 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     489	   2528758 ns/op	3163.61 MB/s	18751221 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     487	   2378362 ns/op	3363.66 MB/s	18726644 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     502	   2347875 ns/op	3407.34 MB/s	18726652 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     514	   2327504 ns/op	3437.16 MB/s	18693879 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     512	   2325405 ns/op	3440.26 MB/s	18726648 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      55	  21889050 ns/op	3654.80 MB/s	185130738 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      51	  21663530 ns/op	3692.84 MB/s	185131007 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      54	  21480927 ns/op	3724.23 MB/s	185179894 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      54	  21694981 ns/op	3687.49 MB/s	185253630 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      54	  21526350 ns/op	3716.38 MB/s	185106170 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      54	  21684684 ns/op	3689.24 MB/s	185147124 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      51	  21742127 ns/op	3679.49 MB/s	185147129 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      51	  21967565 ns/op	3641.73 MB/s	185147133 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      51	  21640346 ns/op	3696.80 MB/s	185122551 B/op	     101 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      52	  21575444 ns/op	3707.92 MB/s	185147133 B/op	     101 allocs/op
PASS
ok  	github.com/h0rn3t/gopolars/bench/cross	150.615s
