goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/bench/cross
cpu: Apple M4 Pro
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  487458	      2066 ns/op	3872.63 MB/s	    2968 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  583401	      2069 ns/op	3866.37 MB/s	    2968 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  584329	      2049 ns/op	3903.54 MB/s	    2968 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  578935	      2057 ns/op	3889.96 MB/s	    2968 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  564849	      2151 ns/op	3719.80 MB/s	    2968 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  583548	      2079 ns/op	3848.16 MB/s	    2968 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  590629	      2097 ns/op	3815.26 MB/s	    2968 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  593858	      2071 ns/op	3863.33 MB/s	    2968 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  570819	      2060 ns/op	3882.93 MB/s	    2968 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1K-12         	  561356	      2079 ns/op	3848.69 MB/s	    2968 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78438	     15498 ns/op	5162.06 MB/s	   21400 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   76104	     15745 ns/op	5081.06 MB/s	   21400 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   75126	     15814 ns/op	5058.71 MB/s	   21400 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   77828	     15689 ns/op	5099.15 MB/s	   21400 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   74599	     15524 ns/op	5153.36 MB/s	   21400 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   79772	     15719 ns/op	5089.26 MB/s	   21400 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78254	     15417 ns/op	5188.93 MB/s	   21400 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   78516	     15631 ns/op	5117.88 MB/s	   21400 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   79576	     15752 ns/op	5078.71 MB/s	   21400 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10K-12        	   77698	     15387 ns/op	5199.10 MB/s	   21400 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    8277	    144354 ns/op	5541.93 MB/s	  213912 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    7975	    144043 ns/op	5553.90 MB/s	  213912 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    8077	    146224 ns/op	5471.04 MB/s	  213912 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    7831	    147399 ns/op	5427.44 MB/s	  213912 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    8389	    146812 ns/op	5449.13 MB/s	  213912 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    7916	    145053 ns/op	5515.24 MB/s	  213912 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    7987	    144932 ns/op	5519.84 MB/s	  213912 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    8689	    146152 ns/op	5473.74 MB/s	  213912 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    7770	    148885 ns/op	5373.29 MB/s	  213912 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_100K-12       	    7718	    150528 ns/op	5314.62 MB/s	  213912 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     896	   1376900 ns/op	5810.15 MB/s	 2016152 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     867	   1333325 ns/op	6000.04 MB/s	 2016152 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     925	   1354424 ns/op	5906.57 MB/s	 2016152 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     901	   1349401 ns/op	5928.56 MB/s	 2016152 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     894	   1386362 ns/op	5770.50 MB/s	 2016152 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     856	   1344478 ns/op	5950.27 MB/s	 2016152 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     866	   1370204 ns/op	5838.55 MB/s	 2016152 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     898	   1352799 ns/op	5913.67 MB/s	 2016152 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     843	   1381752 ns/op	5789.75 MB/s	 2016152 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_1M-12         	     912	   1384898 ns/op	5776.60 MB/s	 2016152 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      87	  13624007 ns/op	5871.99 MB/s	20005784 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      80	  13380237 ns/op	5978.97 MB/s	20005784 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      81	  13313369 ns/op	6009.00 MB/s	20005784 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      87	  13361105 ns/op	5987.53 MB/s	20005784 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      87	  13557970 ns/op	5900.59 MB/s	20005785 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      78	  13202469 ns/op	6059.47 MB/s	20005784 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      79	  13874806 ns/op	5765.85 MB/s	20005784 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      90	  13325244 ns/op	6003.64 MB/s	20005784 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      88	  13555451 ns/op	5901.68 MB/s	20005785 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      80	  13423348 ns/op	5959.77 MB/s	20005784 B/op	      10 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  225124	      5391 ns/op	1484.01 MB/s	   15768 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  225396	      5317 ns/op	1504.70 MB/s	   18136 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  230318	      5294 ns/op	1511.05 MB/s	   15768 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  229701	      5263 ns/op	1520.05 MB/s	   18136 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  236288	      5364 ns/op	1491.53 MB/s	   18136 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  233368	      5216 ns/op	1533.67 MB/s	   15768 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  230257	      5198 ns/op	1539.00 MB/s	   15736 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  234442	      5187 ns/op	1542.32 MB/s	   15768 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  223171	      5355 ns/op	1493.95 MB/s	   18136 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  230288	      5207 ns/op	1536.36 MB/s	   15768 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   25341	     45298 ns/op	1766.06 MB/s	  149656 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26054	     44358 ns/op	1803.50 MB/s	  149656 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26998	     44679 ns/op	1790.54 MB/s	  149656 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26840	     46528 ns/op	1719.38 MB/s	  149656 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   27152	     45073 ns/op	1774.90 MB/s	  149656 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   27123	     44384 ns/op	1802.45 MB/s	  149656 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26718	     45458 ns/op	1759.87 MB/s	  149656 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   27055	     45569 ns/op	1755.58 MB/s	  149656 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26682	     44484 ns/op	1798.40 MB/s	  149656 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   26574	     45078 ns/op	1774.72 MB/s	  149656 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1872	    638116 ns/op	1253.69 MB/s	 1475485 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1939	    640853 ns/op	1248.34 MB/s	 1475482 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1866	    647362 ns/op	1235.78 MB/s	 1475487 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1819	    640470 ns/op	1249.08 MB/s	 1475484 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1882	    638827 ns/op	1252.30 MB/s	 1475483 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1850	    643701 ns/op	1242.81 MB/s	 1500057 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1846	    905905 ns/op	 883.09 MB/s	 1475486 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1833	    631392 ns/op	1267.04 MB/s	 1500058 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1898	    649143 ns/op	1232.39 MB/s	 1475482 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1909	    628072 ns/op	1273.74 MB/s	 1475483 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     205	   5833560 ns/op	1371.38 MB/s	14508955 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     206	   5781304 ns/op	1383.77 MB/s	14508954 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     206	   5795572 ns/op	1380.36 MB/s	14541721 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     204	   5779273 ns/op	1384.26 MB/s	14508955 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     206	   5782447 ns/op	1383.50 MB/s	14508952 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     206	   5805122 ns/op	1378.09 MB/s	14566296 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     205	   5866354 ns/op	1363.71 MB/s	14541720 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     204	   5741649 ns/op	1393.33 MB/s	14541722 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     206	   5827133 ns/op	1372.89 MB/s	14541720 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     207	   5829337 ns/op	1372.37 MB/s	14541721 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      20	  57941215 ns/op	1380.71 MB/s	144991133 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      20	  56558531 ns/op	1414.46 MB/s	145040280 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      19	  56395474 ns/op	1418.55 MB/s	145040280 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      19	  56645395 ns/op	1412.29 MB/s	144933784 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      19	  56966357 ns/op	1404.34 MB/s	145064856 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      19	  56830450 ns/op	1407.70 MB/s	145015704 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      18	  56597894 ns/op	1413.48 MB/s	145040280 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      19	  56893838 ns/op	1406.13 MB/s	145089432 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      19	  56821515 ns/op	1407.92 MB/s	145015715 B/op	      14 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      19	  56514610 ns/op	1415.56 MB/s	145040280 B/op	      14 allocs/op
PASS
ok  	github.com/h0rn3t/gopolars/bench/cross	143.102s
