goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/bench/cross
cpu: Apple M4 Pro
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     519	   2301623 ns/op	34758.08 MB/s	20061928 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     529	   2347528 ns/op	34078.41 MB/s	20061929 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     501	   2531492 ns/op	31601.91 MB/s	20061928 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     490	   2398994 ns/op	33347.31 MB/s	20061931 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     492	   2305421 ns/op	34700.83 MB/s	20061930 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     522	   3745293 ns/op	21360.15 MB/s	20061929 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	     523	   2330519 ns/op	34327.12 MB/s	20061929 B/op	      85 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  220702	      5455 ns/op	1466.59 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  225265	      5531 ns/op	1446.43 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  219645	      5405 ns/op	1480.15 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  223693	      5445 ns/op	1469.12 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  220495	      5666 ns/op	1411.84 MB/s	   18520 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  226519	      5494 ns/op	1456.19 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  208862	      5498 ns/op	1454.98 MB/s	   16152 B/op	      17 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  218551	      5462 ns/op	1464.77 MB/s	   16152 B/op	      17 allocs/op
