goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/pkg/simd
cpu: Apple M4 Pro
BenchmarkReductions/Min/10M-12        	     100	  10142664 ns/op	7887.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     100	  10087318 ns/op	7930.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     100	  10139621 ns/op	7889.84 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     100	  10145759 ns/op	7885.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     100	  10177208 ns/op	7860.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     100	  10121370 ns/op	7904.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Min/10M-12        	     100	  10133857 ns/op	7894.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     100	  10193057 ns/op	7848.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     100	  10099783 ns/op	7920.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     100	  10124336 ns/op	7901.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     100	  10203065 ns/op	7840.78 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     100	  10414222 ns/op	7681.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     100	  10271274 ns/op	7788.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     100	  10124179 ns/op	7901.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     100	  10071615 ns/op	7943.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     100	  10209457 ns/op	7835.87 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/Max/10M-12        	     100	  10196375 ns/op	7845.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	      78	  15195917 ns/op	5264.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	      78	  15256392 ns/op	5243.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	      78	  15136849 ns/op	5285.12 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	      79	  15228800 ns/op	5253.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	      78	  15262703 ns/op	5241.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	      78	  15344542 ns/op	5213.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	      76	  15458436 ns/op	5175.17 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	      78	  15437206 ns/op	5182.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	      78	  15377590 ns/op	5202.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkReductions/MinMax/10M-12     	      78	  15317734 ns/op	5222.70 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/h0rn3t/gopolars/pkg/simd	92.536s
