goos: darwin
goarch: arm64
pkg: github.com/h0rn3t/gopolars/bench/cross
cpu: Apple M4 Pro
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      55	  21637682 ns/op	3697.25 MB/s	120013720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      49	  21367826 ns/op	3743.95 MB/s	120013720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      50	  21736445 ns/op	3680.45 MB/s	120013720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      55	  21574652 ns/op	3708.06 MB/s	120013724 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      49	  21624641 ns/op	3699.48 MB/s	120013720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      52	  21415670 ns/op	3735.58 MB/s	120013720 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/empty/size_10M-12        	      49	  22755157 ns/op	3515.69 MB/s	120013726 B/op	      13 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  170870	      6369 ns/op	1256.18 MB/s	   21912 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  190444	      6334 ns/op	1262.94 MB/s	   21912 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  189372	      6363 ns/op	1257.28 MB/s	   21912 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  181095	      6487 ns/op	1233.31 MB/s	   23512 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  185193	      6344 ns/op	1261.05 MB/s	   21912 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  190515	      6270 ns/op	1275.93 MB/s	   21912 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  186561	      6609 ns/op	1210.46 MB/s	   21912 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  175148	      6376 ns/op	1254.68 MB/s	   21912 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  177483	      6582 ns/op	1215.41 MB/s	   23512 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1K-12          	  185038	      6446 ns/op	1241.04 MB/s	   23512 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   22448	     54028 ns/op	1480.71 MB/s	  211096 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   22267	     53566 ns/op	1493.47 MB/s	  211096 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   21855	     53966 ns/op	1482.42 MB/s	  211096 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   22208	     53661 ns/op	1490.84 MB/s	  211096 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   22038	     53740 ns/op	1488.65 MB/s	  211096 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   22230	     53669 ns/op	1490.61 MB/s	  211096 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   21406	     54127 ns/op	1478.01 MB/s	  211096 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   22164	     53973 ns/op	1482.22 MB/s	  211096 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   22448	     53941 ns/op	1483.11 MB/s	  211096 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10K-12         	   22233	     53403 ns/op	1498.04 MB/s	  211096 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1848	    604590 ns/op	1323.21 MB/s	 2089884 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1878	    608415 ns/op	1314.89 MB/s	 2089883 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1854	    602160 ns/op	1328.55 MB/s	 2089882 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1875	    612668 ns/op	1305.76 MB/s	 2089882 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1843	    615796 ns/op	1299.13 MB/s	 2089883 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1852	    611959 ns/op	1307.28 MB/s	 2106266 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1898	    612707 ns/op	1305.68 MB/s	 2089882 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1863	    603258 ns/op	1326.13 MB/s	 2089883 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1892	    627467 ns/op	1274.97 MB/s	 2089882 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_100K-12        	    1830	    607085 ns/op	1317.77 MB/s	 2089882 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     198	   6047275 ns/op	1322.91 MB/s	20530076 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     196	   6096430 ns/op	1312.24 MB/s	20530076 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     192	   6111642 ns/op	1308.98 MB/s	20530074 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     196	   6089958 ns/op	1313.64 MB/s	20554653 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     195	   6102085 ns/op	1311.03 MB/s	20571036 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     194	   6049034 ns/op	1322.53 MB/s	20530072 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     196	   6121869 ns/op	1306.79 MB/s	20554650 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     198	   6092443 ns/op	1313.10 MB/s	20554648 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     194	   6042218 ns/op	1324.02 MB/s	20554651 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_1M-12          	     196	   6086995 ns/op	1314.28 MB/s	20554651 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      19	  60925353 ns/op	1313.08 MB/s	205071256 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      18	  60810681 ns/op	1315.56 MB/s	205022110 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      18	  61130766 ns/op	1308.67 MB/s	205022104 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      19	  60957520 ns/op	1312.39 MB/s	205054877 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      18	  61438282 ns/op	1302.12 MB/s	205022104 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      18	  60769037 ns/op	1316.46 MB/s	205038494 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      18	  61099963 ns/op	1309.33 MB/s	205071262 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      19	  61316055 ns/op	1304.72 MB/s	205005720 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      18	  61227028 ns/op	1306.61 MB/s	205038488 B/op	      16 allocs/op
BenchmarkCrossFilterSum/filter_sum/half/size_10M-12         	      18	  61016942 ns/op	1311.11 MB/s	205022110 B/op	      16 allocs/op
PASS
ok  	github.com/h0rn3t/gopolars/bench/cross	148.093s
